ns,title,category
0,Civil War (1968 video game),1968 video games
0,Hamurabi (video game),1968 video games
0,Lunar Lander (video game genre),1969 video games
0,Space Travel (video game),1969 video games
0,Highnoon,1970 video games
0,Baseball (1971 video game),1971 video games
0,Computer Space,1971 video games
0,Galaxy Game,1971 video games
0,The Oregon Trail (1971 video game),1971 video games
0,Star Trek (1971 video game),1971 video games
0,Empire (1972 video game),1972 video games
0,Magnavox Odyssey,1972 video games
0,Pong,1972 video games
0,Empire (PLATO),1973 video games
0,Gotcha (video game),1973 video games
0,Hunt the Wumpus,1973 video games
0,Lemonade Stand,1973 video games
0,Lunar Lander (video game genre),1973 video games
0,Mugwump (video game),1973 video games
0,Space Race (video game),1973 video games
0,Trek73,1973 video games
0,Gran Trak 10,1974 video games
0,Maze War,1974 video games
0,Ping-O-Tronic,1974 video games
0,Qwak!,1974 video games
0,Rebound (video game),1974 video games
0,Spasim,1974 video games
0,Speed Race,1974 video games
0,Star Trader,1974 video games
0,Tank (video game),1974 video games
0,VideoSport MK2,1974 video games
0,Wander (1974 video game),1974 video games
0,Anti-Aircraft (video game),1975 video games
0,Crash 'N Score,1975 video games
0,Destruction Derby (1975 video game),1975 video games
0,Dnd (video game),1975 video games
0,Doctor Pong,1975 video games
0,Dungeon (video game),1975 video games
0,Gun Fight,1975 video games
0,Hi-way,1975 video games
0,Indy 800,1975 video games
0,Interton Video 2000,1975 video games
0,Interton Video 2400,1975 video games
0,Jet Fighter (video game),1975 video games
0,Moria (PLATO),1975 video games
0,Nürburgring 1,1975 video games
0,The Oregon Trail (1971 video game),1975 video games
0,Panther (1975 video game),1975 video games
0,PC-50x Family,1975 video games
0,Pedit5,1975 video games
0,Philips Tele-Game series,1975 video games
0,Pursuit (video game),1975 video games
0,Shark Jaws,1975 video games
0,Steeplechase (video game),1975 video games
0,TV Tennis Electrotennis,1975 video games
0,The Amazing Maze Game,1976 video games
0,APF TV Fun series,1976 video games
0,Barricade (video game),1976 video games
0,Bigfoot Bonkers,1976 video games
0,Blockade (video game),1976 video games
0,Breakout (video game),1976 video games
0,Coleco Telstar series,1976 video games
0,Colossal Cave Adventure,1976 video games
0,Datsun 280 ZZZAP,1976 video games
0,Death Race (1976 video game),1976 video games
0,Dukedom (video game),1976 video games
0,F-1 (arcade game),1976 video games
0,Fairchild Channel F Videocarts,1976 video games
0,Fonz (video game),1976 video games
0,Heavyweight Champ,1976 video games
0,Indy 4 (video game),1976 video games
0,LeMans (video game),1976 video games
0,Mattel Auto Race,1976 video games
0,Microchess,1976 video games
0,Night Driver (video game),1976 video games
0,Outlaw (video game),1976 video games
0,Quiz Show (video game),1976 video games
0,Sea Wolf (video game),1976 video games
0,Sprint 2,1976 video games
0,Stunt Cycle,1976 video games
0,Tanktics: Computer Game of Armored Combat on the Eastern Front,1976 video games
0,Trek-80,1976 video games
0,Wonder Wizard (7702),1976 video games
0,Air-Sea Battle,1977 video games
0,Baseball (1977 video game),1977 video games
